,currency_change,market_cap,name,price,supply,symbol,volume
348,0.21,8553683.88458,Selfkey,0.00298226420774,2868184469.5,KEY,385447.033372
349,-0.41,8492681.4241,Gulden,0.019946216904,425779057.0,NLG,11552.5500678
350,-15.03,8489798.94893,HalalChain,0.021824115221,389009994.814,HLC,362825.362669
351,0.56,8457646.74786,LBRY Credits,0.0377033694276,224320713.938,LBC,14516.3865452
352,0.02,8428537.23045,Content Value...,0.0197988797664,425707783.97,CVNT,2902328.14649
353,1.98,8409577.75388,FOAM,0.0305795432244,275006650.432,FOAM,76604.0064234
354,1.57,8340711.72766,Waves Communi...,0.837036206119,9964577.0,WCT,1321921.48257
355,-0.81,8302362.48779,AMO Coin,0.000925337761805,8972250815.31,AMO,2286573.30103
356,-0.77,8275065.9676,Refereum,0.00226911257411,3646829188.65,RFR,904003.142238
357,0.12,8216456.19723,Online,0.00936176849533,877660690.0,OIO,7708.17047731
358,-0.27,8161285.77515,CanonChain,0.0155063563623,526318729.202,CZR,199620.270479
359,0.32,8160415.49196,DecentBet,0.0433132840349,188404450.823,DBET,1477.06839631
360,-0.01,8118595.25799,Trade Token X,0.091690848769,88543135.6236,TIOX,916.975536598
361,-4.63,8051009.84721,Safe Exchange...,0.00521723114955,1543157590.0,SAFEX,12564.3293124
362,-0.04,8030033.28614,ZrCoin,2.01771493252,3979766.0,ZRC,23493.5360644
363,0.99,8010865.0317,Ambrosus,0.0554036310475,144590975.0,AMB,923020.755898
364,-1.25,8003565.74073,Electra,0.000280625731848,28520427147.0,ECA,23176.5943588
365,-0.01,7984591.19634,SafeInsure,3.68420037431,2167252.15382,SINS,660456.744369
366,-0.07,7958067.26635,GameCredits,0.113953489189,69836100.0,GAME,18624.827617
367,-0.40,7947930.01913,BOScoin,0.0145464220343,546383846.171,BOS,6296.04667155
368,0.03,7934525.36163,Pascal Coin,0.307626784386,25792700.0,PASC,51669.7925821
369,-0.26,7925046.69848,DEX,0.0413749187053,191542290.51,DEX,2213922.36886
370,-0.01,7905912.50546,Presearch,0.051005887132,155000000.0,PRE,35118.5201388
371,0.29,7875142.31691,AppCoins,0.0787086750356,100054311.845,APPC,418731.837431
372,-0.28,7867708.8445,MobileGo,0.0786795456072,99996877.0,MGO,35677.1961251
373,-1.29,7849845.28941,Blockport,0.148471849791,52870933.4494,BPT,529316.26946
374,6.52,7833063.00013,Paragon,0.120626443714,64936532.6454,PRG,27854.7226507
375,0.07,7607799.6514,Bitcore,0.453100577442,16790531.794,BTX,151309.113372
376,2.45,7606849.50386,Cryptaur,0.0010132479928,7507391633.55,CPT,2836.88629961
377,1.68,7501872.481,Blox,0.0111208182183,674579184.17,CDT,458593.255825
378,-4.47,7470274.30856,Primalbase Token,5976.21944685,1250.0,PBT,121899.014529
379,-0.01,7448056.53829,SaluS,7.35781098898,1012265.27148,SLS,1256.26105034
380,-0.62,7425570.26677,Primecoin,0.272466531103,27253146.4203,XPM,114228.327685
381,4.38,7401931.69931,Ternio,0.0221507365738,334161876.498,TERN,3501.82434161
382,-0.02,7395016.2108,Fortuna,0.0154063795472,479997016.051,FOTA,950216.817535
383,0.53,7392878.71517,Ink,0.0159360012032,463910526.92,INK,4355691.31914
384,-0.35,7388139.6199,Mobius,0.0143435937193,515082884.002,MOBI,30561.7012029
385,0.52,7294935.72256,Penta,0.000357321503991,20415607907.9,PNT,670094.49638
386,-2.49,7190176.11966,Dero,1.02504368727,7014507.0,DERO,185788.556844
387,0.34,7148943.23979,Machine Xchan...,0.00894188240588,799489740.0,MXC,1120263.86324
388,-1.22,7136658.33518,PCHAIN,0.012754216424,559552864.553,PI,388714.107844
389,-0.02,7101029.29969,AgaveCoin,0.0181788866379,390619593.0,AGVC,48765.8100458
390,-2.10,6994781.20054,Litecoin Cash,0.0112847271228,619844957.209,LCC,153025.534903
391,0.75,6987053.92802,Genaro Network,0.0288000922372,242605262.18,GNX,399384.866223
392,-0.54,6979764.07143,Internet Node...,0.0246643106732,282990437.637,INT,799770.907892
393,-1.19,6913211.21763,Bottos,0.0126617873534,545990153.26,BTO,307839.811854
394,-1.40,6880789.51941,Primas,0.130583689589,52692564.7534,PST,3269698.18484
395,11.04,6861451.39874,Sphere,0.549604480637,12484343.9973,SPHR,562058.694051
396,0.41,6839216.3345,NIX,0.158493696504,43151345.9863,NIX,56477.2099743
397,-0.22,6832952.56916,QChi,0.230154474314,29688549.7861,QCH,245865.198043
398,3.19,6804031.61239,Wowbit,0.024494513785,277777778.0,WWB,1981345.86305
